Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Bird's Quicksort/reverse [1..10],1.4432847776616428e-7,1.4016779752909529e-7,1.5105125207830688e-7,1.7740371783923882e-8,1.2892234755828725e-8,2.3931524704678224e-8
Bird's Quicksort/reverse [1..100,1.424323606298318e-6,1.3183722864900674e-6,1.719044325851592e-6,5.191193493635923e-7,6.001846114038375e-8,1.0312967749576518e-6
Bird's Quicksort/[1..10],7.32512967751735e-8,7.224486959861065e-8,7.505474255219713e-8,4.478869391389891e-9,2.9126500117197934e-9,7.244761152183932e-9
Bird's Quicksort/[1..100],7.205211243065667e-7,7.02949942554951e-7,7.471116802128094e-7,6.985110903075393e-8,4.9066628315710335e-8,1.1560989244858642e-7
Bird's Quicksort/[1..1000],7.181313437399717e-6,7.090227596937365e-6,7.321760943558698e-6,3.79475399543362e-7,2.6587546086838394e-7,5.82517116070748e-7
Bird's Quicksort/replicate 100 5,6.793052748389903e-7,6.737512600774593e-7,6.886231859326934e-7,2.5411285405771087e-8,1.702662877206565e-8,4.23327793403391e-8
Bird's Quicksort/replicate 1000 5,7.247050752234551e-6,7.149736717350584e-6,7.375033349331241e-6,3.5550269426518575e-7,2.6021511685479426e-7,4.90173522728891e-7
"Bird's Quicksort/[-89, 74, 8, 10, 34]",3.493308978371013e-8,3.4610058537108954e-8,3.539810648681827e-8,1.2371742169737886e-9,9.710802251947777e-10,1.87978437189228e-9
Bird's Quicksort/random 256-element list,1.991012226806029e-6,1.978841255804465e-6,2.0093739081764204e-6,4.892005180353604e-8,3.42722543897036e-8,7.153871063912541e-8
Bird's Quicksort/random 512-element lit,6.458028474583415e-6,6.4157589952680885e-6,6.5237991506760515e-6,1.7009343328083523e-7,1.4137818063731648e-7,2.1717391435677066e-7
Bird's Quicksort/random 1024-elemnt list,1.9794420131624325e-5,1.9626233139494243e-5,2.0073729484323136e-5,7.205877423684099e-7,4.928809734970443e-7,1.105445836630017e-6
Threey-way Quicksort/reverse [1..10],1.4064732275832835e-7,1.3922671604194058e-7,1.423016122414765e-7,5.328412992408269e-9,3.8214974082889e-9,7.060901115629905e-9
Threey-way Quicksort/reverse [1..100,1.3694372693509875e-6,1.3592798439110797e-6,1.3951234018496743e-6,4.740612521201043e-8,2.376659141870994e-8,8.885324303547516e-8
Threey-way Quicksort/[1..10],7.885522194195478e-8,7.822566447034474e-8,7.97360126938393e-8,2.5395720129653935e-9,1.9348237677776703e-9,3.3506894344412223e-9
Threey-way Quicksort/[1..100],7.27397791519665e-7,7.174012971123322e-7,7.391731398902293e-7,3.662093413072141e-8,3.01120634976535e-8,4.3666062626283875e-8
Threey-way Quicksort/[1..1000],7.594527775336594e-6,7.484235959649768e-6,7.720015814303467e-6,4.169675617212022e-7,3.1184781559659335e-7,5.47795895490824e-7
Threey-way Quicksort/replicate 100 5,4.7287783185701783e-7,4.68635913199318e-7,4.797214407775428e-7,1.751278971597073e-8,1.164768916421001e-8,2.6241878821059898e-8
Threey-way Quicksort/replicate 1000 5,5.40015304887828e-6,5.342893156489483e-6,5.4799930032369975e-6,2.3703125100275011e-7,1.676076373402853e-7,3.3598548717148814e-7
"Threey-way Quicksort/[-89, 74, 8, 10, 34]",3.997988452612325e-8,3.955066248151976e-8,4.048000768680645e-8,1.5604562230132104e-9,1.287251314512511e-9,1.9224315787277573e-9
Threey-way Quicksort/random 256-element list,2.1640174759877953e-6,2.106532046394093e-6,2.255649887749429e-6,2.405278287938312e-7,1.6585776745236377e-7,3.365748254500958e-7
Threey-way Quicksort/random 512-element lit,8.747653586146538e-6,8.151347017642166e-6,9.601534923782263e-6,2.3661318960795806e-6,1.682039342905437e-6,3.140908659975387e-6
Threey-way Quicksort/random 1024-elemnt list,2.216324792775201e-5,2.0668434568862137e-5,2.7545127246899617e-5,9.307535250486583e-6,1.3227005620491527e-6,1.9752823320881435e-5
Insertion Sort + Quicksort/reverse [1..10],2.214642343960605e-7,2.1578721259654974e-7,2.3043874950928836e-7,2.4404203997470134e-8,1.719077547251735e-8,3.302012854929868e-8
Insertion Sort + Quicksort/reverse [1..100,2.0969247475998567e-6,2.0690473607858584e-6,2.1562248380906976e-6,1.3239232402627723e-7,8.18889887553512e-8,2.2840761276553124e-7
Insertion Sort + Quicksort/[1..10],1.1424787917023266e-7,1.1267867719088789e-7,1.1719599113005581e-7,7.16916236106054e-9,5.205090113658959e-9,9.811709885207912e-9
Insertion Sort + Quicksort/[1..100],1.069981036613412e-6,1.0565410759042303e-6,1.0879896967225366e-6,5.194669798771713e-8,4.2392848832296174e-8,6.337003811360485e-8
Insertion Sort + Quicksort/[1..1000],1.1034069545544074e-5,1.0867260925502422e-5,1.1301594525500627e-5,6.617570039620051e-7,4.5749204484325815e-7,9.885855333982157e-7
Insertion Sort + Quicksort/replicate 100 5,1.1022385314495908e-6,1.0708887745526718e-6,1.1392838825705995e-6,1.1875516860047332e-7,8.901986847936813e-8,1.5764256650244347e-7
Insertion Sort + Quicksort/replicate 1000 5,1.0915740402974099e-5,1.0772630509046067e-5,1.1183784370116346e-5,6.07156523877469e-7,3.4249260082819324e-7,1.0862389337018582e-6
"Insertion Sort + Quicksort/[-89, 74, 8, 10, 34]",5.495396814332509e-8,5.3972631369457714e-8,5.636226181244055e-8,3.9723441235442134e-9,2.959916986718951e-9,5.286448379088518e-9
Insertion Sort + Quicksort/random 256-element list,3.14765829732242e-6,3.1022168777613003e-6,3.2399323145954153e-6,2.0579009486437594e-7,1.1443617091785201e-7,3.683964037173696e-7
Insertion Sort + Quicksort/random 512-element lit,1.3078411944616001e-5,1.277391050638987e-5,1.4018953272906537e-5,1.6514894594261952e-6,5.612841732720616e-7,3.2531434687841183e-6
Insertion Sort + Quicksort/random 1024-elemnt list,3.570503369825662e-5,3.4977199450149194e-5,3.688424085113812e-5,3.256199438054903e-6,2.2409950846400187e-6,4.566044883449567e-6
